,Unnamed: 0,fecha,HORA declarada,Ruta,OperadOR,flight_no,route,ac_type,registration,cn_ln,all_aboard,PASAJEROS A BORDO,crew_aboard,cantidad de fallecidos,passenger_fatalities,crew_fatalities,ground,summary,nueva,reporte
2680,2680,"May 11, 1973",0437,"Near Semipalatinsk, USSR",Aeroflot,6551,"Tashkent, Uzbekistan - 	Novosibirsk, Russia",Ilyushin IL-18B,SSR-75687,189001202,61,55,8,61,55,8,0,The plane disintegrated during an emergency descent and crashed 84km from Semipalatins. Collision with a foreign object causing damage to the wing.,1973-05-11,El avión se desintegró durante un descenso de emergencia y se estrelló a 84 km de Semipalatins. Colisión con un objeto extraño que causa daño al ala.
2681,2681,"May 18, 1973",0938,"Chita, Siberia, USSR",Aeroflot,109,Moscow - Chita,Tupolev TU-104A,CCCP-42411,820303,81,72,9,81,72,9,0,The aircraft broke up at FL 300. Detonation of a bomb in the cabin being carried by a hijacker.,1973-05-18,La aeronave se partió en FL 300. Detonación de una bomba en la cabina que llevaba un secuestrador.
2682,2682,"May 19, 1973",1500,"Svay Rieng, Cambodia",Cambodia Air,?,Svay Rieng - Phnom Penh,Douglas C-47A,XW-TDM,10078,11,9,2,11,9,2,0,Crashed shortly after taking off after being hit by ground fire.,1973-05-19,Se estrelló poco después de despegar después de ser alcanzado por fuego desde tierra.
2683,2683,"May 29, 1973",?,"Near Rimouski, Prov. Quebec, Canada",Air Gaspé,?,?,Douglas DC-3,CF-QBB,10081,4,1,3,4,1,3,0,"the crew failed to realize their altitude was too low when the plane struck a tree and crashed, 5 km southeast of Rimouski.",1973-05-29,"la tripulación no se dio cuenta de que su altitud era demasiado baja cuando el avión chocó contra un árbol y se estrelló, 5 km al sureste de Rimouski."
2684,2684,"May 31, 1973",21:58,"Near New Delhi, India",Indian Airlines,440,Madras - Delhi,Boeing B-737-2A8,VT-EAM,20486/279,65,58,7,48,43,5,0,The plane crashed and caught fire after hitting power lines during a landing attempt. The landing was made despite visibility below minima. Crew error.,1973-05-31,El avión se estrelló y se incendió después de chocar contra líneas eléctricas durante un intento de aterrizaje. El aterrizaje se realizó a pesar de la visibilidad por debajo de los mínimos. Error de tripulación.
2685,2685,"June 01, 1973",0720,"Sao Luis, Brazil",Cruzeiro,?,Belem - Sao Luis,Sud Aviation SE-210 Caravelle VIN,PP-PDX,126/127,23,16,7,23,16,7,0,"While on a go-around the aircraft attained a nose up attitude, stalled and crashed. Loss of power in the No.1 engine at a critical stage of the landing.",1973-06-01,"Durante una maniobra de motor y al aire, la aeronave alcanzó una actitud de morro hacia arriba, se detuvo y se estrelló. Pérdida de potencia en el motor No.1 en una etapa crítica del aterrizaje."
2686,2686,"June 03, 1973",1529,"Goussainville, France",Aeroflot,?,Demonstration,Tupolev TU-144,CCCP-77102,01-2,6,0,6,6,0,6,8,"During a steep climb at an airshow, the airplane was observed to level off very abruptly and then begin a dive. The plane broke apart and exploded before crashing into a residential area killing 8 people and seriously injuring 60 others. The pilot, possibly startled by a close encounter with a Mirage jet photographing the TU-144, overreacted causing a compressor stall. The aircraft then went into a dive and broke apart after the aircraft's design capacity was exceeded.",1973-06-03,"Durante un ascenso empinado en una exhibición aérea, se observó que el avión se nivelaba muy abruptamente y luego comenzaba a sumergirse. El avión se partió y explotó antes de estrellarse contra una zona residencial matando a 8 personas e hiriendo gravemente a otras 60. El piloto, posiblemente sorprendido por un encuentro cercano con un jet Mirage que fotografiaba el TU-144, reaccionó de forma exagerada y provocó una parada del compresor. Luego, la aeronave se sumergió y se rompió después de que se excedió la capacidad de diseño de la aeronave."
2687,2687,"June 09, 1973",?,"Rio de Janeiro, Brazil",Varig,?,?,Boeing 707-327C,PP-VLJ,19106/502,4,0,4,2,0,2,0,The cargo plane was making an instrument approach to Runway 14 with the speed brake lever at 45 degrees and inboard spoilers deactivated when it was noted that the spoiler switch cover was open. The captain or copilot then closed the spoiler switch cover and activated the inboard spoiler causing the aircraft to pitch down. The plane descended from a height of about 70 meters and struck approach lights.,1973-06-09,"El avión de carga estaba realizando una aproximación por instrumentos a la pista 14 con la palanca del freno de velocidad a 45 grados y los spoilers internos desactivados cuando se observó que la cubierta del interruptor del spoiler estaba abierta. Luego, el capitán o el copiloto cerró la tapa del interruptor del spoiler y activó el spoiler interior, lo que provocó que la aeronave se inclinara hacia abajo. El avión descendió desde una altura de unos 70 metros y golpeó las luces de aproximación."
2688,2688,"June 20, 1973",2247,"Near Puerto Vallarta, Mexico",Aeromexico,?,Houston - Monterrey - Puerto Vallarta - Mexico City,McDonnell Douglas DC-9-15,XA-SOC,47100/153,27,22,5,27,22,5,0,"The aircraft hit high ground during an approach, 32 kms from the airport.",1973-06-20,"La aeronave golpeó un terreno elevado durante una aproximación, a 32 km del aeropuerto."
2689,2689,"June 30, 1973",1339,"Amman, Jordan",Aeroflot,SU-512,"Amman, Jordan - Beirut, Lebanon - Yerevan, Armenia",Tupolev TU-134A,CCCP-65668,1351306,85,78,8,2,0,2,7,"The aircraft was not able to lift off during takeoff, overshot the runway and crashed into a house bursting into flames.",1973-06-30,"La aeronave no pudo despegar durante el despegue, se salió de la pista y se estrelló contra una casa que estalló en llamas."
2690,2690,"July 04, 1973",?,"Near Shakhtyorsk, Russia",Aeroflot,?,Yuzhno -Shakhtyorsk,Ilyushin IL-14,CCCP-91534,147001150,18,13,5,18,13,5,0,"Controlled flight into terrain, 53 km south of Shakhtyorsk. The crew descended below a safe altitude during the approach.",1973-07-04,"Vuelo controlado al terreno, 53 km al sur de Shakhtyorsk. La tripulación descendió por debajo de una altitud segura durante la aproximación."
2691,2691,"July 09, 1973",1953,"Nnear Kuybyshev, Russia",Aeroflot,5385,Kuibyshev - Simferopol,Tupolev TU-124V,CCCP-45062,4351407,61,54,7,2,2,0,0,Made a forced landing after experiencing engine failure. Complete destruction of turbine and due to a design and manufacturing defect.,1973-07-09,Hizo un aterrizaje forzoso después de experimentar una falla en el motor. Destrucción completa de turbina y por defecto de diseño y fabricación.
2692,2692,"July 11, 1973",1403,"Paris, Orly Airport, France",Varig,820,Rio - de Janerio - Paris,Boeing B-707-345C,PP-VJZ,19106/683,134,117,17,123,116,7,0,Fire aboard the aircraft in the aft right toilet was reported and an emergency descent made. The plane was heavily damaged by fire before fire fighters could rescue passengers. Most fatalities were due to CO before rescuers could reach passengers. The fire started in the aft right toilet either from an electrical short or discarded cigarette.,1973-07-11,"Se informó de un incendio a bordo de la aeronave en el baño derecho de popa y se realizó un descenso de emergencia. El avión sufrió graves daños por el fuego antes de que los bomberos pudieran rescatar a los pasajeros. La mayoría de las muertes se debieron al CO antes de que los rescatistas pudieran alcanzar a los pasajeros. El incendio se inició en el baño derecho de popa, ya sea por un cortocircuito eléctrico o por un cigarrillo desechado."
2693,2693,"July 22, 1973",2207,"Off Papeete, Tahiti",Pan American World Airways,816,"Auckland, NZ - Papeete, Tahiti - Honolulu - Los Angeles",Boeing B-707-321B,N417PA,18959/470,79,69,10,78,68,10,0,"The aircraft crashed 30 seconds after takeoff from Faaa Airport into the ocean. Cause unknown.  It is possible an instrument failure diverted the crews attention during a turn. The aircraft was named ""Clipper Winged Racer.""",1973-07-22,"El avión se estrelló 30 segundos después del despegue del aeropuerto de Faaa en el océano. Causa desconocida. Es posible que una falla del instrumento desviara la atención de la tripulación durante un viraje. El avión se llamó ""Clipper Winged Racer""."
2694,2694,"July 23, 1973",1643,"St. Louis, Missouri",Ozark Air Lines,809,"Marion, IL - St. Louis",Fairchild-Hiller FH-227B,N4215,513,44,41,3,38,37,1,0,"The aircraft crashed after attempting to land in thunderstorms with heavy rain and high winds. After passing the outer marker, the aircraft descended below the glide slope, entered an area of heavy rain, was struck by lightning and crashed into the ground short of the runway. The aircraft's encounter with a downdraft following the captain's decision to initiate and continue an instrument approach into a thunderstorm. Lack of a timely issuance of a severe weather warning by the National Weather Service.",1973-07-23,"El avión se estrelló después de intentar aterrizar en medio de tormentas con fuertes lluvias y fuertes vientos. Después de pasar la baliza exterior, la aeronave descendió por debajo de la senda de planeo, entró en un área de fuertes lluvias, fue alcanzada por un rayo y se estrelló contra el suelo cerca de la pista. El encuentro de la aeronave con una corriente descendente tras la decisión del capitán de iniciar y continuar una aproximación por instrumentos en una tormenta eléctrica. Falta de emisión oportuna de una advertencia de clima severo por parte del Servicio Meteorológico Nacional."
2695,2695,"July 24, 1973",0708,"Honolulu, HI",Air Hawaii,?,Honolulu - Lihue,Volpar C45G,N234JC,?,5,4,1,5,4,1,0,"The plane experienced engine faiure while taking off and crashed into the ocean. Fuel starvation. Rear auxillary tanks not serviced. Overloaded, improper center of gravity.",1973-07-24,El avión experimentó una falla en el motor mientras despegaba y se estrelló contra el océano. Falta de combustible. Tanques auxiliares traseros sin mantenimiento. Centro de gravedad sobrecargado e inadecuado.
2696,2696,"July 31, 1973",1008,"Logan Airport, Boston, Massachusetts",Delta Air Lines,723,"Burlilngton, VT  - Boston, MA",McDonnell Douglas DC-9-31,N975NE,47075/166,89,83,6,89,83,6,0,The flight crashed into a seawall during ILS approach in adverse weather conditions. The failure of the flightcrew to monitor altitude and to recognize passage of the aircraft through the approach decision height during an unstabilized precision approach conducted in rapidly changing meteorological conditions. Poor positioning of the aircraft for an approach by ATC. Questionable information presented by the flight director.,1973-07-31,El vuelo se estrelló contra un malecón durante la aproximación ILS en condiciones climáticas adversas. La falla de la tripulación de vuelo para monitorear la altitud y reconocer el paso de la aeronave a través de la altura de decisión de aproximación durante una aproximación de precisión no estabilizada realizada en condiciones meteorológicas que cambian rápidamente. Mal posicionamiento de la aeronave para una aproximación por ATC. Información cuestionable presentada por el director de vuelo.
2697,2697,"August 13, 1973",1140,"Near La  Coruña, Spain",Aviaco Condor,118,Madrid - La Coruña,Sud-Aviation Caravelle 10-R,EC-BIC,225,85,79,6,85,79,6,1,"The aircraft experienced two missing landing attempts. On the third try, the crew tried to descent below minimum safe altitude to make visual contact with the ground. The right wing clipped trees and the aircraft crashed about 2 m from the runway. Attempting to land in meteorological conditions that were below minima.",1973-08-13,"La aeronave experimentó dos intentos fallidos de aterrizaje. En el tercer intento, la tripulación intentó descender por debajo de la altitud mínima de seguridad para hacer contacto visual con el suelo. El ala derecha cortó árboles y la aeronave se estrelló a unos 2 m de la pista. Intentar aterrizar en condiciones meteorológicas que estaban por debajo de los mínimos."
2698,2698,"August 15, 1973",1450,"Don Don, Haiti",Private,?,Port Au Prince - Cap Haitien,Norman BN-2A-6,N38JA,211,10,9,1,10,9,1,0,"While flying too low, the plane struck a mountain shrouded in clouds and located in Dondon, 21 km south of the airport. Controlled flight into terrain..",1973-08-15,"Mientras volaba demasiado bajo, el avión chocó contra una montaña envuelta en nubes y ubicada en Dondon, 21 km al sur del aeropuerto. Vuelo controlado al terreno.."
2699,2699,"August 18, 1973",1851,"Baku, Azerbaijan, USSR",Aeroflot,A-13,Baku - Aktau,Antonov AN-24V,CCCP-46435,87304305,64,60,4,56,54,2,0,Crashed after after attemping a return to the airport for an emergency landing. Left engine failure.,1973-08-18,Se estrelló después de intentar regresar al aeropuerto para un aterrizaje de emergencia. Falla del motor izquierdo.
2700,2700,"August 22, 1973",1140,"El Yopal, Colombia",AVIANCA,?,Villavicencio - El Yopal,Douglas DC-3,HK-111,4105,17,14,3,16,13,3,0,Struck a hill in heavy fog. Flying VFR in IFR conditions.,1973-08-22,Golpeó una colina en una densa niebla. Vuelo VFR en condiciones IFR.
2701,2701,"August 27, 1973",1245,"Bogota, Colombia",Aerocondor Colombia,?,Bogota - Cartagena,Lockheed L-188A Electra,HK-777,1115,42,36,6,42,36,6,0,Crashed into El Cable Mountain after taking off in fog. Crew failed to follow departure procedures.,1973-08-27,Se estrelló contra la montaña El Cable después de despegar en medio de la niebla. La tripulación no siguió los procedimientos de salida.
2702,2702,"August 28, 1973",2145,"Near Huete, Spain",Military - U.S. Air Force,?,Athens - Madrid,Lockheed C-141A,63-8077,6008,25,17,8,24,17,7,0,"The aircraft was cleared to 5,000 ft. but descended to 3,000 ft. The plane hit a ridge became airborne, rolled over and crashed inverted into a ravine. The flying crew failed to follow approach procedures and descended to an unsafe altitude following a misinterpretation of the ATC clearance. A lack of crew coordination, a wrong planned approach and crew fatigue.",1973-08-28,"El avión fue autorizado a 5000 pies, pero descendió a 3000 pies. El avión golpeó una cresta, se elevó, volcó y se estrelló invertido en un barranco. La tripulación de vuelo no siguió los procedimientos de aproximación y descendió a una altitud insegura luego de una mala interpretación de la autorización ATC. Falta de coordinación de la tripulación, un enfoque mal planificado y fatiga de la tripulación."
2703,2703,"August 28, 1973",2050,"Thirty-five miles west of Los Angeles, California",Trans World Airlines,742,Honolulu - Los Angeles,Boeing B-707-331B,N8705T,18916/455,149,141,8,1,1,0,0,"The plane porpoised while descending to LAX. The aircraft was subjected to 2 minutes of peak acceleration forces of 2.4 g.  A combination of design tolerances in the aircraft's longitudinal control system which, under certain conditions, produced a critical relationship between control forces and aircraft response.",1973-08-28,"El avión entró en marsopa mientras descendía a LAX. La aeronave estuvo sujeta a 2 minutos de fuerzas máximas de aceleración de 2,4 g. Una combinación de tolerancias de diseño en el sistema de control longitudinal de la aeronave que, bajo ciertas condiciones, produjo una relación crítica entre las fuerzas de control y la respuesta de la aeronave."
2704,2704,"September 08, 1973",0542,"King Cove, Alaska",World Airways,?,Travis - Cold Bay - Yokota - Clark,McDonnell Douglas DC-8-63F,N802WA,46146,6,3,3,6,3,3,0,"Hit mountain at 3,500 ft., in level flight, 15.5 miles east of airport in fog. Improper IFR operation.  Descended below MSA in mountainous terrain. The captain's deviation from approved instrument approach procedures. As a result of the deviation the flight descended into an area of unreliable navigation signals and obstructing terrain.",1973-09-08,"Golpea la montaña a 3500 pies, en vuelo nivelado, 15,5 millas al este del aeropuerto con niebla. Operación IFR incorrecta. Descendió por debajo de MSA en terreno montañoso. La desviación del capitán de los procedimientos de aproximación por instrumentos aprobados. Como resultado de la desviación, el vuelo descendió a un área de señales de navegación poco confiables y terreno obstruido."
2705,2705,"September 11, 1973",?,"Moganik, Yugoslavia",JAT Yugoslav Airlines,?,Skopje - Titograd,Aerospatiale Caravelle 6N,YU-AHD,151/149,41,35,6,41,35,6,0,"The aircraft struck Moganik Mountain at 6,300 ft., while descending. Controlled flight into terrain.",1973-09-11,"El avión golpeó la montaña Moganik a 6300 pies, mientras descendía. Vuelo controlado hacia el terreno."
2706,2706,"September 20, 1973",2245,"Natchitoches, Louisiana",Private Charter,-,"Natchitoches, La - Dallas, TX",Beechcraft E18S,N50JR,BA-176,6,5,1,6,5,1,0,"The plane crashed into a tree 200 yards past the end of the runway while taking off  from Natchitoches, Louisiana Municipal Airport. A witness to the crash reported that the plane never seemed to gain any altitude. It scraped the top of a pecan tree, catching a wing and crashed to the ground. Pilot failed to see/avoid objects, obstructions. Pilot had severe coronary artery disease. Ran 3 miles from motel to airport.  May have had a heart attack. Singer Jim Croce, 30, killed.  Also killed were accompanist Maurice Muehleisen, publicist Kenny Cortese, road manager Dennis Rast, comedian George Stevens and pilot Robert Elliot. Croce's company had just completed a performance before a crowd of 2,000 at Northwest State University.",1973-09-20,"El avión se estrelló contra un árbol 200 yardas después del final de la pista mientras despegaba del Aeropuerto Municipal de Natchitoches, Louisiana. Un testigo del accidente informó que el avión nunca pareció ganar altitud. Raspó la parte superior de un árbol de nuez, se enganchó en un ala y se estrelló contra el suelo. El piloto no pudo ver/evitar objetos, obstrucciones. El piloto tenía una enfermedad arterial coronaria grave. Corrió 3 millas del motel al aeropuerto. Puede haber tenido un ataque al corazón. El cantante Jim Croce, de 30 años, asesinado. También murieron el acompañante Maurice Muehleisen, el publicista Kenny Cortese, el gerente de ruta Dennis Rast, el comediante George Stevens y el piloto Robert Elliot. La compañía de Croce acababa de completar una actuación ante una multitud de 2000 personas en la Universidad Estatal del Noroeste."
2707,2707,"September 27, 1973",1952,"Rich Mountain, Arkansas",Texas International Airlines,655,Memphis - El Dorado - Texarkana - Dallas,Convair 600,N94230,056,11,8,3,11,8,3,0,"The aircraft flew100 miles off course and struck Black Fork Mountain, 600 feet below the summit of the peak, 91 miles North of Texarkana. Heavy thunderstorms were in the area at the time. The captain's attempt to operate the flight under VFR at night without using all the navigational aids and information available to him and his deviation from the pre-planned route without adequate positioning information.",1973-09-27,"El avión voló 100 millas fuera de curso y chocó contra Black Fork Mountain, 600 pies debajo de la cima del pico, 91 millas al norte de Texarkana. En ese momento había fuertes tormentas en la zona. El intento del comandante de operar el vuelo bajo VFR de noche sin usar todas las ayudas e información de navegación disponibles para él y su desviación de la ruta planificada previamente sin información de posicionamiento adecuada."
2708,2708,"September 30, 1973",?,"Miritituba, Brazil",Aeronorte,?,Itaituba - Jacareacanga,Douglas DC-3A,PT-CEV,20182,9,5,4,9,5,4,0,"The crew started the takeoff roll at a point 200m down the runway, with a runway distance remaining of 1080m. After taking off, the DC-3 climbed slowly, entered a right turn, stalled and crashed in flames.  Power loss on one or both engines, due to maintenance deficiencies or fuel contamination.",1973-09-30,"La tripulación inició la carrera de despegue en un punto a 200 m de la pista, con una distancia de pista restante de 1080 m. Después de despegar, el DC-3 ascendió lentamente, giró a la derecha, se detuvo y se estrelló en llamas. Pérdida de potencia en uno o ambos motores, por deficiencias de mantenimiento o contaminación del combustible."
2709,2709,"September 30, 1973",2037,"Near Sverdlovsk, Russia",Aeroflot,3932,Sverdlovsk - Omsk,Tupolev TU-104B,CCCP-42506,21904,108,100,8,108,100,8,0,"The aircraft crashed shortly after takeoff while on a go-around. After reaching an altitude of 1,200 ft. the aircraft banked to the left which steepened until the plane began to descend and finally crashed. Malfunctioning artificial horizon.",1973-09-30,"La aeronave se estrelló poco después del despegue mientras realizaba una maniobra de motor y al aire. Después de alcanzar una altitud de 1.200 pies, la aeronave se inclinó hacia la izquierda y se inclinó hasta que el avión comenzó a descender y finalmente se estrelló. Mal funcionamiento del horizonte artificial."
2710,2710,"October 02, 1973",2336,"Magadan, Russia",Aeroflot,3932,Yakutsk - Magadan,Antonov AN-12V,CCCP-12967,9346502,10,8,2,10,8,2,0,The cargo plane struck high ground after going off course during a go-around. Crew error.,1973-10-02,El avión de carga chocó contra un terreno elevado después de desviarse de su curso durante una maniobra de motor y al aire. Error de tripulación.
2711,2711,"October 13, 1973",2018,"Near  Domodedovo, Russia",Aeroflot,964,Tbilisi - Moscow,Tupolev TU-104B,CCCP-42486,021504,122,114,8,122,114,8,0,"After making a right turn, the aircraft plunged to earth from 1,500 ft.  Electrical failure of the compass and main gyro.",1973-10-13,"Después de hacer un giro a la derecha, la aeronave cayó a tierra desde 1.500 pies. Falla eléctrica de la brújula y giroscopio principal."
2712,2712,"October 23, 1973",0850,"Guanabara Bay, Brazil",VASP,?,Rio de Janeiro - Belo Horizonte,NAMC YS-11A-211,PP-SMJ,2068,65,60,5,8,8,0,0,"The takeoff from Santos Dumont airport was aborted after a loss of power occurred before the V1 speed was reached. Due to poor braking action, emergency brakes were applied. The pilot-in-command retracted the landing gear after it was apparent an overrun was imminent. The aircraft slid into Guanabara Bay.",1973-10-23,"El despegue del aeropuerto Santos Dumont fue abortado luego de que se produjera una pérdida de potencia antes de alcanzar la velocidad V1. Debido a la mala acción de frenado, se aplicaron los frenos de emergencia. El piloto al mando retrajo el tren de aterrizaje después de que se hizo evidente que un adelantamiento era inminente. El avión se deslizó en la Bahía de Guanabara."
2713,2713,"November 02, 1973",?,"Villavicencio, Colombia",Lineas Aéreas La Urraca,?,Arauca - Cucuta,Handley Page HPR-7 Herald 101,HK- 718,150,16,12,4,6,3,3,0,The aircraft crashed after diverting to Villavicencio after experiencing hydraulic problems and having to feather the No. 1engine.,1973-11-02,La aeronave se estrelló luego de desviarse a Villavicencio luego de experimentar problemas hidráulicos y tener que emplumar el motor No. 1.
2714,2714,"November 03, 1973",0939,"Boston,: Massachusetts",Pan American World Airways,160,New York City - Prestwick,Boeing B-707-321C,N458PA,19368/640,3,0,3,3,0,3,0,"Smoke in the cockpit and uncontrollable fire in the cargo plane caused by spillage of nitric acid on sawdust packing in the cargo hold. The aircraft was named ""Clipper Titian.""",1973-11-03,"Humo en la cabina e incendio incontrolable en el avión de carga por derrame de ácido nítrico en el empaque de aserrín en la bodega de carga. El avión se llamó ""Clipper Titian""."
2715,2715,"November 03, 1973",1640,"Near Albuquerque,  New Mexico",National Airlines,27,"Miami, FL - San Francisco, CA",McDonnell Douglas DC-10-10,N60NA,46700/14,128,116,12,1,1,0,0,"Overspeeding of the starboard engine caused the engine to disintegrate. Pieces struck the fuselage, breaking a window, causing rapid explosive decompression and a passenger Mr. Gardner, sitting in seat 17H was sucked out of the plane.  The plane landed safely. His body was found two years later. The captain and flight engineer were experimenting with the autothrottle system by tripping the circuit breakers which supplied the instruments which measured the rotational speed of each engine's low pressure compressor. This led to engine overspeeding and destruction of the engine.",1973-11-03,"El exceso de velocidad del motor de estribor hizo que el motor se desintegrara. Las piezas golpearon el fuselaje, rompieron una ventana, provocaron una rápida descompresión explosiva y un pasajero, el Sr. Gardner, sentado en el asiento 17H, fue succionado fuera del avión. El avión aterrizó a salvo. Su cuerpo fue encontrado dos años después. El capitán y el ingeniero de vuelo estaban experimentando con el sistema de aceleración automática activando los disyuntores que alimentaban los instrumentos que medían la velocidad de rotación del compresor de baja presión de cada motor. Esto condujo al exceso de velocidad del motor y la destrucción del motor."
2716,2716,"November 17, 1973",0200,"Near Quang-Ngai, South Vietnam",Air Vietnam (South Vietnam),?,on - Quang Ngai,Douglas DC-3,XV-NIE,14910/26355,27,24,3,27,24,3,0,Flew into a mountain while en route. Flying under VFR in IFR conditons.,1973-11-17,Voló hacia una montaña mientras estaba en el camino. Volar bajo VFR en condiciones IFR.
2717,2717,"December 07, 1973",2229,"Moscow, USSR",Aeroflot,964,Mineral Waters - Moscow,Tupolev TU-104B,CCCP-42503,21901,75,68,7,13,11,5,0,The aircraft crashed after the wing touched the ground while landing short of the runway. Crew error in not executing a missed approach.,1973-12-07,El avión se estrelló después de que el ala tocara el suelo mientras aterrizaba cerca de la pista. Error de la tripulación al no ejecutar una aproximación frustrada.
2718,2718,"December 16, 1973",1913,"Near Karacharovo, USSR",Aeroflot,2022,Vilnius - Moscow,Tupolev TU-124,CCCP-45061,3351406,51,45,6,51,45,6,0,Went into a sudden dive and crashed to the ground. A short circuit occurred in the elevator trim system.,1973-12-16,Se sumergió repentinamente y se estrelló contra el suelo. Se produjo un cortocircuito en el sistema de compensación del ascensor.
2719,2719,"December 17, 1973",1300,"Rome, Italy",Pan American World Airways,110,Rome - Beirut,Boeing B-707-321B,N407PA,18838/412,177,167,10,30,29,1,0,"Two phosphorus bombs were thrown into the aircraft prior to its departure. The aircraft was named ""Clipper Celestial.""",1973-12-17,"Se arrojaron dos bombas de fósforo a la aeronave antes de su partida. El avión se llamó ""Clipper Celestial""."
2720,2720,"December 21, 1973",?,"Near Siagon, South Vietnam",Military - Vietnamese Air Force,?,?,Boeing Vertol CH-47 (helilcopter),?,?,20,?,?,20,?,?,0,Ammunition exploded while the aircraft was on the ground.,1973-12-21,La munición explotó mientras la aeronave estaba en tierra.
2721,2721,"December 22, 1973",2210,"Near Tetouan, Morocco",Royal Air Maroc,?,Paris - Tanger,Sud-Aviation Caravelle VI-N,OO-SRD,069/84,106,99,7,106,99,7,0,"After missing the outer marker, the aircraft continued off course and crashed into Mt. Mellaline, 20 kms from the airport at an elevation of 2,300 feet in rain. Crew error. The pilot started his final turn too far east of the runway.",1973-12-22,"Después de perder el marcador exterior, la aeronave continuó fuera de curso y se estrelló contra el monte Mellaline, a 20 km del aeropuerto a una altura de 2300 pies bajo la lluvia. Error de tripulación. El piloto inició su giro final demasiado al este de la pista."
2722,2722,"December 23, 1973",2208,"Lvov, Ukraine, USSR",Aeroflot,?,Lviv - Kiev - Kuybyshev,Tupolev TU-124,CCCP-45004,350202,17,11,6,17,11,6,0,Crashed after takeoff. Engine failure. A defective turbine blade failed resulting in violent vibration of the engine and rupturing of a fuel line and causing an in-flight fire.,1973-12-23,"Se estrelló después del despegue. Falla del motor. Una pala de turbina defectuosa falló, lo que provocó una vibración violenta del motor y la ruptura de una línea de combustible y provocó un incendio en vuelo."
2723,2723,"December 28, 1973",?,"Durban, South Africa",Executive Funds,?,?,Douglas DC-3,ZS-DAK,1498,25,22,3,1,1,0,0,"The No.1 engine failed while the DC-3  turned onto final approach.  Shortly thereafter,  the No.2 engine also failed. The aircraft was turned towards a beach and was ditched successfully. One  non-swimming passenger  drowned.",1973-12-28,"El motor No.1 falló mientras el DC-3 giraba hacia la aproximación final. Poco después, el motor No.2 también falló. La aeronave giró hacia una playa y se abandonó con éxito. Un pasajero que no sabía nadar se ahogó."
2724,2724,"January 01, 1974",1238,"Near Turin, Italy",Itavia,?,Bologna - Torino,Fokker F-28 Fellowship 1000,I-TIDE,11015,42,38,4,38,35,3,0,Crashed 2 miles short of the runway upside down during an approach in fog and heavy rain.,1974-01-01,Se estrelló boca abajo a 2 millas de la pista durante una aproximación con niebla y lluvia intensa.
2725,2725,"January 06, 1974",1805,"Johnstown, Pennsylvania",Air East,?,"Pittsburgh, PA - Johnstown, PA",Beechcraft 99A,N125AE,U-125,17,15,2,12,11,1,0,Crashed short of the runway.  Failed to maintain flying speed. Improper IFR operation. Premature descent below safe approach slope for reasons undetermined.,1974-01-06,Se estrelló cerca de la pista. No se pudo mantener la velocidad de vuelo. Operación IFR incorrecta. Descenso prematuro por debajo de la pendiente de aproximación segura por razones indeterminadas.
2726,2726,"January 06, 1974",?,"Unduavi, Bolivia",Servicios Aéreos Boliviano,?,San Borja - La Paz,Curtiss C-46F,CP-990,22490,4,1,3,4,1,3,0,The cargo plane hit a mountain en route.,1974-01-06,El avión de carga chocó contra una montaña en el camino.
2727,2727,"January 06, 1974",1525,"Mukachevo, Ukraine",Aeroflot,H-75,"Ivano-Frankovsk, Ukraine - Uzhgorod, Ukraine",Antonov AN-24V,CCCP-46357,77303405,24,18,6,24,18,6,0,The plane dove into the ground 100 meters behind the outer marker while on approach.  Icing of the horizontal stabilizer.,1974-01-06,El avión se zambulló en el suelo 100 metros detrás del marcador exterior mientras se aproximaba. Formación de hielo del estabilizador horizontal.
2728,2728,"January 09, 1974",1636,"Near Nevia, Colombia",SATENA,?,Florencia - Bogota,Hawker Siddeley HS 748-260,FAC-1103,1704,31,28,3,31,28,3,0,The domestic flight crashed into Mt Gabinete about 34 km northwest of Florencia while en route to Bogota.,1974-01-09,El vuelo nacional se estrelló contra el monte Gabinete a unos 34 km al noroeste de Florencia cuando se dirigía a Bogotá.
2729,2729,"January 10, 1974",1630,"La Paz, Bolivia",TAM (Bolivia),?,Santa Rose - La Paz,Douglas C-54,TAM-52,?,24,21,3,24,21,3,0,The non-scheduled passenger flight crashed while en route to La Paz. Wreckage never found.,1974-01-10,El vuelo no regular de pasajeros se estrelló cuando se dirigía a La Paz. Restos nunca encontrados.
2730,2730,"January 17, 1974",1315,"Cigorodo, Colombia",Cessnyca,?,Chigorodó - Medellín,Douglas DC-3A,HK-1216,1905,14,11,3,14,11,3,0,Crashed after climbing to cruising altitude.,1974-01-17,Se estrelló después de subir a altitud de crucero.
2731,2731,"January 26, 1974",0730,"Izmir, Turkey",Turkish Airlines (THY),?,Izmir - Istanbul,Fokker F-28 Fellowship 1000,TC-JAO,11057,73,68,5,66,62,4,0,"The plane yawed left, pitched nose down and crashed shortly after taking off. Icing. Frost on the wings along with over rotation resulted in a stall. Crew error.",1974-01-26,"El avión giró a la izquierda, inclinó el morro hacia abajo y se estrelló poco después de despegar. Formación de hielo. La escarcha en las alas junto con la rotación excesiva resultó en un puesto. Error de tripulación."
